transition_events,,,,,
type ,message,stateModel,currentState,order,CEID
EVENT,AlarmCleared,Equip,ALARMPAUSED,1,5022
EVENT,AlarmCleared,Equip,IDLEWITHALARMS,1,5019
EVENT,DieEnd,Port,DIESTART,1,5152
EVENT,DieStart,Port,DIEEND,1,5154
EVENT,DieStart,Port,SUBLOTSTART,1,5151
EVENT,IdleNotReady,Equip,IDLEREADY,1,5062
EVENT,IdleReady,Equip,IDLENOTREADY,1,5063
EVENT,InitComplete,Equip,INIT,1,5001
EVENT,LotCancel,Port,SETTINGUP,1,5164
EVENT,LotCancel,Port,READY,1,5129
EVENT,LotCancel,Port,REREADY,1,5177
EVENT,LotComplete,Port,PENDINGCOMPLETE,1,5157
EVENT,LotComplete,Port,SUBLOTCOMPLETE,1,5165
EVENT,LotComplete,Port,SUBLOTCOMPLETE,2,5172
EVENT,LotComplete,Port,LOTCOMPLETE,1,5172
EVENT,LotFinish,Port,REREADY,1,5177
EVENT,LotStart,Port,PENDINGCOMPLETE,1,5161
EVENT,LotStart,Port,PENDINGCOMPLETE,2,5171
EVENT,LotStart,Port,STARTING,1,5171
EVENT,Paused,Equip,CHECKING,1,5033
EVENT,Paused,Equip,PAUSING,1,5020
EVENT,PendingComplete,Port,SUBLOTCOMPLETE,1,5124
EVENT,PPBadCompile,Port,SETTINGUP,1,5164
EVENT,PPBadCompile,Port,RESETUP,1,5176
EVENT,ProberAlarmCleared,Equip,ALARMPAUSED,1,5022
EVENT,ProberAlarmCleared,Equip,IDLEWITHALARMS,1,5019
EVENT,RecipeVerified,Port,SETTINGUP,1,5103
EVENT,RecipeVerified,Port,RESETUP,1,5175
EVENT,Reset,Equip,ABORTED,1,5036
EVENT,Reset,Equip,ABORTING,1,5016
EVENT,Reset,Equip,ABORTING,2,5036
EVENT,Reset,Equip,ALARMPAUSED,1,5014
EVENT,Reset,Equip,ALARMPAUSED,2,5016
EVENT,Reset,Equip,ALARMPAUSED,3,5036
EVENT,Reset,Equip,CHECKING,1,5014
EVENT,Reset,Equip,CHECKING,2,5016
EVENT,Reset,Equip,CHECKING,3,5036
EVENT,Reset,Equip,IDLENOTREADY,1,5035
EVENT,Reset,Equip,IDLEREADY,1,5035
EVENT,Reset,Equip,IDLEWITHALARMS,1,5037
EVENT,Reset,Equip,INIT,1,5001
EVENT,Reset,Equip,INIT,2,5035
EVENT,Reset,Equip,PAUSED,1,5014
EVENT,Reset,Equip,PAUSED,2,5016
EVENT,Reset,Equip,PAUSED,3,5036
EVENT,Reset,Equip,PAUSING,1,5014
EVENT,Reset,Equip,PAUSING,2,5016
EVENT,Reset,Equip,PAUSING,3,5036
EVENT,Reset,Equip,PROCESSING,1,5007
EVENT,Reset,Equip,PROCESSING,2,5016
EVENT,Reset,Equip,PROCESSING,3,5036
EVENT,Reset,Equip,STOPPING,1,5012
EVENT,Reset,Equip,STOPPING,2,5035
EVENT,Resumed,Equip,CHECKING,1,5011
EVENT,StartInit,Equip,WORKSTATIONREADY,1,5000
EVENT,Stopped,Equip,STOPPING,1,5012
EVENT,SubLotComplete,Port,DIEEND,1,5153
EVENT,SubLotComplete,Port,SUBLOTSTART,1,5155
EVENT,SubLotStart,Port,LOTSTART,1,5150
EVENT,SubLotStart,Port,SUBLOTCOMPLETE,1,5156
EVENT,SystemIdle,Equip,PROCESSING,1,5060
